,Ticker,Perf
0,A,0.7640047675804529
1,A,0.3733108108108107
2,A,-0.15236907730673316
3,A,0.1852949896234806
4,A,0.4162148841793987
5,A,-0.28956053500086854
6,A,-0.008941517641372753
7,A,0.12935077758578134
8,A,0.4821857923497268
9,A,-0.033920900607317526
10,A,0.2805668626564149
11,A,0.42025014889815365
12,AA,0.2836017956165831
13,AA,-0.35259384226064955
14,AA,-0.5231270358306188
15,AA,0.4653341661461586
16,AAL,0.7663716814159292
17,AAL,-0.1280788177339902
18,AAL,0.6508287292817678
19,AAL,1.1409774436090225
20,AAL,0.3348103018554418
21,AAL,-0.20545808966861598
22,AAL,0.15992003998000995
23,AAL,0.14494623655913982
24,AAL,-0.3267898383371825
25,AAL,-0.28335664335664335
26,AAL,-0.38176144244105414
27,AAMC,-0.782324182023317
28,AAMC,-0.9077214846924953
29,AAMC,3.0069084628670115
30,AAMC,-0.038569424964936885
31,AAMC,-0.45776805251641134
32,AAMC,-0.4759259259259259
33,AAMC,0.2402826855123675
34,AAOI,-0.20202020202020202
35,AAOI,0.2476534296028882
36,AAOI,1.8782014797951052
37,AAOI,-0.46510297482837526
38,AAOI,-0.45992020311933257
39,AAOI,-0.3894173602853746
40,AAOI,0.06368715083798886
41,AAON,-0.11049723756906077
42,AAON,0.33451118963486454
43,AAON,0.5992939099735217
44,AAON,0.14614205416453752
45,AAON,0.05136842105263153
46,AAON,0.5249780893952671
47,AAON,0.08000000000000004
48,AAON,0.16016830294530157
49,AAON,0.3717073170731708
50,AAON,0.4767264402899655
51,AAP,0.5106228874939642
52,AAP,0.36577234481663756
53,AAP,-0.08597445600756855
54,AAP,0.5937578655927512
55,AAP,0.23578648136449779
56,AAP,-0.01898449063646302
57,AAP,0.05783084311632882
58,AAP,-0.28867900282703673
59,AAP,0.42108413132694955
60,AAP,-0.1672453363149533
61,AAP,0.06486003163903988
62,AAPL,1.3116883116883116
63,AAPL,-0.43602693602693604
64,AAPL,0.7660668380462725
65,AAPL,0.5185694635488308
66,AAPL,0.32484076433121023
67,AAPL,0.5428571428571429
68,AAPL,-0.11764705882352941
69,AAPL,0.44073275862068967
70,AAPL,0.10072491415490273
71,AAPL,-0.013000342114266131
72,AAPL,0.37543736878936335
73,AAPL,0.17425287356321836
74,AAPL,0.2580266249021145
75,AAPL,0.79679663484873
76,AAPL,0.3415271024671349
77,AAWW,-0.16385582010582006
78,AAWW,0.03504880212954743
79,AAWW,-0.3312765957446809
80,AAWW,0.38445867287543656
81,AAWW,-0.24541815883716028
82,AAWW,0.3623737373737374
83,AAWW,0.24204435872709748
84,AAWW,0.027758620689655164
85,AAWW,-0.5174459176552687
86,AAWW,1.1311627906976744
87,ABAX,0.17583988563259464
88,ABAX,0.3694493783303729
89,ABAX,-0.06441850410722
90,ABAX,0.016152716593245145
91,ABAX,0.007431874483897594
92,ABAX,-0.044422110552763835
93,ABAX,0.6873096446700506
94,ABBV,0.34929421533351773
95,ABBV,0.18757236588189885
96,ABBV,-0.08287200134205666
97,ABBV,0.13467889908256886
98,ABBV,0.9129021774455639
99,ABBV,-0.3013972055888224
100,ABBV,0.07549288744696778
101,ABBV,0.11387824606215415
102,ABC,0.6357142857142858
103,ABC,0.21834061135371177
104,ABC,0.17893030794165302
105,ABC,0.1151216844407985
106,ABC,0.7141816415735796
107,ABC,0.27483396919598707
108,ABC,0.0995113282985339
109,ABC,-0.2046658516707417
110,ABC,0.015361178113495088
111,ABC,0.1373506360015418
112,ABC,-0.02898389783453636
113,ABC,0.20623501199040772
114,ABCD,-0.15320334261838436
115,ABCD,-0.6224489795918366
116,ABCD,0.41791044776119424
117,ABCD,0.43564356435643564
118,ABCD,0.03648068669527895
119,ABCD,1.0020833333333332
120,ABEO,-0.8048780487804879
121,ABEO,0.45911949685534575
122,ABG,0.3724653148345785
123,ABG,0.39800000000000013
124,ABG,0.4028612303290414
125,ABG,0.6214642262895174
126,ABG,-0.2966360856269113
127,ABG,0.3148219814241487
128,ABG,-0.006574141709276886
129,ABG,0.029538904899135403
130,ABG,0.22083916083916091
131,ABG,0.9457817772778401
132,ABIO,-0.25641025641025644
133,ABIO,-0.6456043956043956
134,ABIO,-0.3347222222222222
135,ABIO,-0.2679558011049723
136,ABIO,-0.7553376906318083
137,ABIO,-0.36731107205623903
138,ABIO,-0.5891203703703705
139,ABIO,-0.058608058608058664
140,ABM,0.26599808978032474
141,ABM,-0.21200750469043148
142,ABM,-0.041904761904761854
143,ABM,0.3594288527818809
144,ABM,0.030954115076474793
145,ABM,0.04481893151667264
146,ABM,0.3634179821551131
147,ABM,-0.05813385442110395
148,ABM,-0.224585062240664
149,ABM,0.24484536082474231
150,ABM,0.0012804097311140657
151,ABMD,0.09613259668508278
152,ABMD,0.1172555043522785
153,ABMD,-0.023657870791628732
154,ABMD,1.8574091332712022
155,ABMD,0.6113829093281148
156,ABMD,0.3646786684099365
157,ABMD,1.9326830710116008
158,ABMD,-0.33621929979554227
159,ABMD,-0.24846299810246678
160,ABMD,0.4059003051881993
161,ABT,-0.03475316342897884
162,ABT,0.009074074074074111
163,ABT,-0.15324344023323622
164,ABT,0.2161345987920622
165,ABT,-0.3845335225257183
166,ABT,0.11825487944890921
167,ABT,0.21733539094650192
168,ABT,-0.17144060657118773
169,ABT,0.165187891440501
170,ABT,0.3511433099388725
171,ABT,0.26446837146702556
172,ABT,0.13404114134041153
173,ABT,0.39652430713312126
174,ABTL,-0.2195121951219513
175,ABTL,0.10674157303370783
176,ABTL,2.764705882352941
177,ABTL,0.27908937605396295
